{'sample_size': 120, 'difference': 14, 'noise': 0, 'n': 12, 'shap_error': 0.0041547302861401824, 'weighted_error': 1.788764167066011}
{'sample_size': 120, 'difference': -4, 'noise': 0, 'n': 12, 'shap_error': 0.0016109231563975637, 'weighted_error': 2.173958465304352}
{'sample_size': 120, 'difference': 6, 'noise': 0, 'n': 12, 'shap_error': 1.7460761493522263e-05, 'weighted_error': 1.2970927246530326}
{'sample_size': 120, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': 0.0018352822644288763, 'weighted_error': 4.076059730622483}
{'sample_size': 120, 'difference': 6, 'noise': 0, 'n': 12, 'shap_error': 0.0018300215563093623, 'weighted_error': 4.4445444527104465}
{'sample_size': 120, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': 5.388632005653913e-06, 'weighted_error': 1.0979726796994342}
{'sample_size': 120, 'difference': 2, 'noise': 0, 'n': 12, 'shap_error': 0.025586166906097007, 'weighted_error': 5.638118577899527}
{'sample_size': 120, 'difference': 8, 'noise': 0, 'n': 12, 'shap_error': 0.009356900184924253, 'weighted_error': 22.426077862365034}
{'sample_size': 120, 'difference': 16, 'noise': 0, 'n': 12, 'shap_error': 0.009153486748272219, 'weighted_error': 7.445287096594895}
{'sample_size': 120, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': 0.0014571880472540513, 'weighted_error': 2.1827781291574584}
{'sample_size': 120, 'difference': 10, 'noise': 0, 'n': 12, 'shap_error': 0.0001264430348421071, 'weighted_error': 3.768799517388806}
{'sample_size': 120, 'difference': -16, 'noise': 0, 'n': 12, 'shap_error': 4.726429204822125e-05, 'weighted_error': 1.2717516896197032}
{'sample_size': 120, 'difference': 2, 'noise': 0, 'n': 12, 'shap_error': 1.0466628726899386e-05, 'weighted_error': 1.1081326054980996}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.04605481554765665, 'weighted_error': 64.25934058168245}
{'sample_size': 120, 'difference': 12, 'noise': 0, 'n': 12, 'shap_error': 0.00029834308398876485, 'weighted_error': 2.024489043470722}
{'sample_size': 120, 'difference': 8, 'noise': 0, 'n': 12, 'shap_error': 0.0001201699268521089, 'weighted_error': 1.6055575700216085}
{'sample_size': 120, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': 0.006229898651368963, 'weighted_error': 2.5290360646553607}
{'sample_size': 120, 'difference': 12, 'noise': 0, 'n': 12, 'shap_error': 3.373882716464214e-05, 'weighted_error': 1.2227916014972515}
{'sample_size': 120, 'difference': -4, 'noise': 0, 'n': 12, 'shap_error': 0.0002730166040263967, 'weighted_error': 1.4895654998907975}
{'sample_size': 120, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': 0.004405958718553316, 'weighted_error': 2.777056393588187}
{'sample_size': 120, 'difference': -8, 'noise': 0, 'n': 12, 'shap_error': 3.43463438928037e-05, 'weighted_error': 2.5805171338722577}
{'sample_size': 120, 'difference': -4, 'noise': 0, 'n': 12, 'shap_error': 0.0004936695795509741, 'weighted_error': 2.8823731860439517}
{'sample_size': 120, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': 0.0002893262124319434, 'weighted_error': 4.656270833555433}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0001078693909022229, 'weighted_error': 1.9579245762336417}
{'sample_size': 120, 'difference': 2, 'noise': 0, 'n': 12, 'shap_error': 0.0013650474693761001, 'weighted_error': 2.0857025859545613}
{'sample_size': 120, 'difference': 12, 'noise': 0, 'n': 12, 'shap_error': 0.0033477644042193325, 'weighted_error': 13.4191889479228}
{'sample_size': 120, 'difference': -4, 'noise': 0, 'n': 12, 'shap_error': 1.8757368274330783e-05, 'weighted_error': 1.3443666001132037}
{'sample_size': 120, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 1.8475461846493617e-05, 'weighted_error': 1.180858091848917}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.266946855116464e-05, 'weighted_error': 1.8830071020450492}
