{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6608584626544605e-13, 'shap_norm_sq': 0.9782784240542208, 'weighted_error': 0.9999999994294904}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6608584652571234e-13, 'shap_norm_sq': 0.9782784240542208, 'weighted_error': 0.9999999994294905}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.3692468460879248, 'shap_norm_sq': 0.0014858980805663646, 'weighted_error': 1.3513593348281059}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.017482715985948454, 'shap_norm_sq': 0.0014858980805663646, 'weighted_error': 1.0166334525112468}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.023749573947547394, 'shap_norm_sq': 0.0014858980805663646, 'weighted_error': 1.0226003461454432}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0006301169319814946, 'shap_norm_sq': 0.0014858980805663646, 'weighted_error': 1.0005990824243352}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.00017246886373405366, 'shap_norm_sq': 0.0014858980805663646, 'weighted_error': 1.0001637927980707}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0006228427004490813, 'shap_norm_sq': 0.0014858980805663646, 'weighted_error': 1.000592763471088}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.037188317132034354, 'shap_norm_sq': 0.540512356100592, 'weighted_error': 1.0584243716494806}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0031810376399482886, 'shap_norm_sq': 0.540512356100592, 'weighted_error': 1.0049974418053207}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0029246942103937808, 'shap_norm_sq': 0.540512356100592, 'weighted_error': 1.0045948730992227}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.004146414203918302, 'shap_norm_sq': 0.540512356100592, 'weighted_error': 1.0065142095596158}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0008477021521238758, 'shap_norm_sq': 0.540512356100592, 'weighted_error': 1.0013317460451563}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0010436886623263384, 'shap_norm_sq': 0.540512356100592, 'weighted_error': 1.0016396324231607}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6613312376222214e-13, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 0.9999999994076736}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.661331237800822e-13, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 0.9999999994076723}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6613312398238224e-13, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 0.9999999994076725}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6613312362735545e-13, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 0.9999999994076723}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.661331238162604e-13, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 0.9999999994076723}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6613312357469122e-13, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 0.9999999994076723}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6613312416636416e-13, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 0.9999999994076725}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.661331240944658e-13, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 0.9999999994076723}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.661331239957773e-13, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 0.9999999994076723}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6613312334915006e-13, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 0.9999999994076723}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.661331236367435e-13, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 0.9999999994076723}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6613312409893082e-13, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 0.9999999994076723}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748991918e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 1.6363665306485824e-22}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748991918e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 4.360544902694234e-22}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.9867474898441002e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 3.7083226747112896e-21}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748995672e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 7.963340531252901e-22}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748993795e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 5.346083835925766e-22}
