{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05958589213055943)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05505788483726622)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.039859985374036226)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.041286012835170256)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.036653312732034996)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.042172489178497516)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0374401752466415)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.03996080712432068)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.16522947649828806)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.17940817830503983)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.18400816284118232)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.17015589727812724)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.18801348076316268)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.19139035940772225)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6532218775954545)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.5856301141259923)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6992270678081963)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6186026919775123)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.5956701878891534)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6237370648157398)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05461052360448829)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.04786986153226402)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.06319800331670856)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05271180597986465)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0561233009772274)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.054778793052165264)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6087430753863204)}
